College grounds,Diameter breast height (cm),Colour (B/RB/G),Height (cm),Bird bites,Rodent bites,Insect bites,Snail marks,All Bites,"missing, fallen"
Christ's,37,G,60,1,0,0,0,1,
Christ's,37,B,65,0,0,0,0,0,
Christ's,37,B,60,0,0,0,0,0,
Christ's,37,B,60,0,0,0,0,0,missing 
,,,,,,,,,
Clare,45,B,15,1,0,5,0,6,fallen
Clare,45,G,15,0,0,10,0,10,
Clare,45,RB,15,0,0,2,0,2,
Clare,45,B,45,0,0,3,0,3,
Clare,45,G,45,0,0,10,0,10,
Clare,45,RB,45,0,0,2,0,2,
Clare,45,B,60,0,0,0,0,0,missing
Clare,45,G,60,0,0,10,0,10,
Clare,45,RB,60,0,0,4,0,4,
,,,,,,,,,
Corpus christi,92,B,30,0,0,0,10,10,
Corpus christi,92,RB,30,0,0,0,10,10,
Corpus christi,92,G,30,3,0,2,10,15,
Corpus christi,92,B,45,0,0,0,10,10,
Corpus christi,92,RB,45,1,2,1,5,9,
Corpus christi,92,G,45,0,2,2,10,14,
Corpus christi,92,B,60,0,1,0,5,6,
Corpus christi,92,RB,60,0,0,2,4,6,
Corpus christi,92,G,60,0,0,4,7,11,
,,,,,,,,,
Queens,50,RG,15,0,4,3,0,7,
Queens,50,RG,30,0,0,0,0,0,
Queens,50,RG,45,0,0,0,0,0,
Queens,50,B,15,0,0,0,0,0,
Queens,50,B,30,0,0,0,0,0,
Queens,50,B,45,0,1,0,0,0,
Queens,50,G,15,0,0,3,3,6,
Queens,50,G,30,0,0,1,0,1,missing
Queens,50,G,45,0,0,0,0,0,fallen
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Fitzwilliam,80,RB,30,0,1,0,0,1,
Fitzwilliam,80,G,30,0,1,0,0,1,
Fitzwilliam,80,B,30,0,2,0,0,2,
Fitzwilliam,80,RB,45,0,1,0,0,1,
Fitzwilliam,80,G,45,0,0,0,0,0,
Fitzwilliam,80,B,45,2,1,0,0,3,
Fitzwilliam,80,RB,60,2,0,0,0,0,
Fitzwilliam,80,G,60,0,2,2,0,4,
Fitzwilliam,80,B,60,0,3,0,0,3,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Trinity fellows garden ,230,B ,30,0,1,0,0,1,
Trinity fellows garden ,230,RB,30,0,0,1,1,2,
Trinity fellows garden ,230,G,30,0,0,0,0,0,fallen
Trinity fellows garden ,230,B ,45,0,0,0,0,0,missing
Trinity fellows garden ,230,RB,45,2,1,1,0,4,
Trinity fellows garden ,230,G,45,1,1,2,0,4,
Trinity fellows garden ,230,B ,60,0,0,0,0,0,missing
Trinity fellows garden ,230,RB ,60,3,0,1,0,4,
Trinity fellows garden ,230,G,60,0,2,1,0,3,fallen
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Clare,90,RB,15,0,0,1,0,1,
Clare,90,B,15,0,0,0,0,0,missing
Clare,90,G,15,0,0,2,0,2,
Clare,90,RB,30,0,0,0,0,0,
Clare,90,B,30,0,0,1,0,1,
Clare,90,G,30,0,0,3,0,3,
Clare,90,RB,60,0,0,2,0,2,
Clare,90,B,60,0,0,0,1,1,
Clare,90,G,60,0,0,1,0,1,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Girton College gardens,30,B,30,0,0,2,10,,fallen
Girton College gardens,30,G,30,0,0,0,0,,missing 
Girton College gardens,30,RB,30,1,0,0,10,,fallen
Girton College gardens,30,B,45,0,0,0,10,,
Girton College gardens,30,G,45,3,0,0,4,,fallen
Girton College gardens,30,RB,45,0,0,0,3,,
Girton College gardens,30,B,60,0,0,0,10,,
Girton College gardens,30,G,60,0,0,0,10,,
Girton College gardens,30,RB,60,0,0,0,10,,
,,,,,,,,,
Kings,36,B,30,0,0,5,0,5,
Kings,36,RB,30,0,0,2,0,2,
Kings,36,G,30,0,1,2,0,3,
Kings,36,B,45,0,2,0,0,2,
Kings,36,RB,45,1,1,1,0,3,
Kings,36,G,45,1,0,2,0,3,
Kings,36,B,60,0,0,2,0,2,
Kings,36,RB,60,2,0,1,0,3,
Kings,36,G,60,1,0,2,0,3,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
